Provisioning Status
Subscription ID,Subscription Name,Order Id,Description,Billing Date(Anniversary Date),Offer Name,Service Name,Subs Status,Subs Extra Status,Provisioning Status
"""2f0b3aa9-b433-4063-afca-9b304cc8bcc9""","""Pay-As-You-Go""","""b490c95c-c8de-4272-afe4-88a9c799045e""","""Pay-As-You-Go""",12,,"""Azure Service Component""",Enabled,None,Provisioned

Statement
Billing Period,Meter Category,Meter Sub-category,Meter Name,Meter Region,SKU,Unit,Consumed Quantity,Included Quantity,Within Commitment,Overage Quantity,Currency,Overage,Commitment Rate,Rate,Value
201807(6/12/2018 - 7/11/2018),"""Networking""",,"""Data Transfer In (GB)""","""Zone 1""",,"""GB""",13.68050634,0.00000000,0,13.68050634,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Networking""",,"""Data Transfer Out (GB)""","""Zone 1""","""7TD-00001""","""GB""",0.50321847,5.00000000,0,0.0,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Azure App Service""",,"""Free App Service""",,,"""Apps""",0.00806400,10.00000000,0,0.0,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Azure App Service""",,"""Standard Small App Service Hours""",,"""7UD-00001""","""Hours""",1.66649000,0.00000000,0,1.66649000,USD,0,0,0.1020108131461934965106301268,$0.17 USD
201807(6/12/2018 - 7/11/2018),"""Virtual Machines""","""A1 VM""","""Compute Hours""","""US South Central""","""7UD-00001""","""Hours""",0.73334800,0.00000000,0,0.73334800,USD,0,0,0.0545443636581813818269089164,$0.04 USD
201807(6/12/2018 - 7/11/2018),"""Storage""","""Locally Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""7UD-00001""","""GB""",0.00021200,0.00000000,0,0.00021200,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Storage""","""Locally Redundant""","""Premium Storage - Page Blob/P10 (Units)""","""US West""","""7UD-00001""","""Units""",1.28425200,0.00000000,0,1.28425200,USD,0,0,19.707970086867686404225961883,$25.31 USD
201807(6/12/2018 - 7/11/2018),"""Service Bus""","""Basic Event Hubs""","""Ingress Events (in 1,000,000s)""",,"""9YD-00001""","""1,000,000s""",0.00982600,0.00000000,0,0.00982600,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Service Bus""","""Basic Event Hubs""","""Throughput Units (Hours)""",,"""9YD-00001""","""Hours""",196.00000000,0.00000000,0,196.00000000,USD,0,0,0.015,$2.94 USD
201807(6/12/2018 - 7/11/2018),"""Service Bus""","""Basic Messaging""","""Operations (in 1,000,000s)""",,"""9YD-00001""","""1,000,000s""",0.00003600,0.00000000,0,0.00003600,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Networking""","""Public IP Addresses""","""IP Address Hours""",,"""7UD-00001""","""Hours""",83.10000000,0.00000000,0,83.10000000,USD,0,0,0.0039711191335740072202166065,$0.33 USD
201807(6/12/2018 - 7/11/2018),"""Networking""","""DNS""","""Zones""",,"""7UD-00001""","""DNS Zones""",0.94892401,0.00000000,0,0.94892401,USD,0,0,0.4952978268512775854412198928,$0.47 USD
201807(6/12/2018 - 7/11/2018),"""Networking""","""DNS""","""DNS Queries (1M)""",,"""7UD-00001""","""1M Queries""",0.01730700,0.00000000,0,0.01730700,USD,0,0,0.577800889813370312590281389,$0.01 USD
201807(6/12/2018 - 7/11/2018),"""Business Analytics""","""Data Lake Analytics""","""Unit Hours""",,"""7UD-00001""","""Hours""",0.56249600,0.00000000,0,0.56249600,USD,0,0,1.9911252702241438161338036182,$1.12 USD
201807(6/12/2018 - 7/11/2018),"""Business Analytics""","""Data Lake Store""","""Data at Rest (GB)""",,"""7UD-00001""","""GB""",0.12538000,0.00000000,0,0.12538000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Virtual Machines""","""Standard_D1_v2 VM (Windows)""","""Compute Hours""","""US West""","""7UD-00001""","""Hours""",71.58336400,0.00000000,0,71.58336400,USD,0,0,0.1260069308841087714178953646,$9.02 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - Block Blob List Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.00070000,0.00000000,0,0.00070000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - Block Blob Read Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",6.52690000,0.00000000,0,6.52690000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Networking""","""Geo Redundant""","""Data transfer - Geo-Replication (GB)""","""US West""",,"""GB""",0.02728300,0.00000000,0,0.02728300,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Storage""",,"""Standard IO - Queue Class 2 Operation Units""",,"""7UD-00001""","""10K Operation Units""",0.03170000,0.00000000,0,0.03170000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - File List Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.00060000,0.00000000,0,0.00060000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - File Read Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.01280000,0.00000000,0,0.01280000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""","""Geo Redundant""","""Standard IO - Table Write Batch Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.63120000,0.00000000,0,0.63120000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - File Protocol Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.05180000,0.00000000,0,0.05180000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Storage""","""Locally Redundant""","""Standard IO - Table (GB)""",,"""7UD-00001""","""GB""",0.00295500,0.00000000,0,0.00295500,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - Block Blob Write Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.50320000,0.00000000,0,0.50320000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Storage""","""Read-Access Geo Redundant""","""Standard IO - Table (GB)""",,"""7UD-00001""","""GB""",0.00265000,0.00000000,0,0.00265000,USD,0,0,0,$0.00 USD
201807(6/12/2018 - 7/11/2018),"""Data Management""",,"""Standard IO - Block Blob Delete Operation Units (in 10,000s)""",,"""7UD-00001""","""10,000s""",0.50130000,0.00000000,0,0.50130000,USD,0,0,0,$0.00 USD
